ObjId   Start   End
1   1   31
2   129 145
3   204 213
4   287 310
5   359 404
6   567 587
7   651 670
8   1450    1463
9   1460    1481
10  1474    1514
11  1849    1890
12  2057    2072
13  2107    2124
14  2198    2221
15  2218    2264
16  2293    2297
17  2329    2382
18  3016    3036
19  3064    3078
20  3199    3248
21  3253    3291
22  3407    3473
23  3618    3632
24  3817    3829
25  4285    4323
26  4378    4417
27  4677    4691
28  5422    5434
29  5444    5480
30  6247    6294
31  6289    6325
32  6725    6779
33  6836    6884
34  6898    6971
35  6949    7002
36  7019    7032
37  7106    7144
38  7198    7238
39  7347    7383
40  7922    7938
41  8628    8644
