ObjID   Start   En
1   1   58
2   32  97
3   447 482
4   661 689
5   681 707
6   800 859
7   837 870
8   849 883
9   1241    1290
10  1309    1344
11  1358    1396
12  1489    1539
13  1616    1651
14  2055    2074
15  2447    2484
16  2614    2645
17  2832    2865
18  3208    3236
19  3262    3330
20  3612    3630
21  3673    3719
22  4022    4068
23  4060    4098
24  4150    4228
25  4169    4194
26  4224    4281
27  4437    4471
28  4576    4608
29  4820    4849
30  5672    5715
31  6082    6141
32  6432    6463
33  6493    6595
34  7299    7333
35  8044    8071
36  8531    8576
37  8575    8650
38  8646    8697
39  8877    8917
40  8905    8963
