ObjID   Start   End
1   1   37
2   13  58
3   216 237
4   340 359
5   451 471
6   1180    1201
7   1350    1405
8   1688    1710
9   1821    1855
10  1827    1844
11  1887    1908
12  1986    2039
13  2226    2270
14  2344    2367
15  2531    2551
16  2713    2758
17  2749    2809
18  2737    2762
19  2766    2815
20  3308    3328
21  3390    3408
22  3471    3496
23  3600    3657
24  4061    4081
25  4324    4346
26  4795    4847
27  4894    4941
28  4940    4959
29  5027    5038
30  5663    5680
31  5859    5915
32  5969    6031
33  6034    6102
34  6082    6146
35  6521    6544
36  7163    7211
37  7266    7279
38  7625    7668
39  7711    7762
40  8168    8188
41  8873    8891
