ObjId   Start   End
1   9   24
2   160 173
3   254 287
4   321 333
5   515 576
6   668 708
7   1073    1093
8   1258    1287
9   1468    1488
10  1876    1887
11  1895    1932
12  2267    2279
38  2284    2308
13  2976    3036
14  3102    3158
15  3116    3196
16  3339    3517
17  3396    3484
18  3434    3495
19  3753    3789
20  3803    3812
21  4746    4812
22  4837    5000
23  4939    5104
24  5033    5109
25  5180    5257
26  5312    5325
27  5939    5999
28  6507    6520
29  6656    6709
30  7147    7226
